,name,Suburb,State,post,cost_text,Latitude,longitude,Beds,Baths,Parking,School,Cloest_shops,pyte,SA2_code,SA2_name,LGA_code,LGA_name,Crime_rate,Pop_density,School_with_rank,Total_employee_income_median,Total_employee_income_mean,Total_income_median,Total_income_mean,Nearest_Bus_Stop,Nearest_Tram_Stop,Nearest_Regional_Train_Station,is_nearby_hospital,is_cbd,median_2019_2020,mean_2019_2020,Nearest_Metro_Train_Station,Unnamed: 32,Unnamed: 33,driving distance/time,walking distance/time,school_rank_value,bus_value,tram_value,train_value,country_train,walk_time,drive_time
0,178 Stanley Street West,Melbourne,VIC,3003,950.0,-37.8092408,144.9469662,3,2,0,"{'North Melbourne Primary School': 1.2, 'University High School': 1.6, 'Haileybury College - City Campus': 0.6}","['The District Docklands', -37.812574, 144.939344, 108]",town_house,206041510,West Melbourne - Residential,24600,Melbourne,21563.32714,9683.521484,"[['North Melbourne Primary School', 1.2, 140], ['University High School', 1.6, 79], ['Haileybury College - City Campus', 0.6, 7]]",,,,,"['North Melbourne Railway Station (West Melbourne)', -37.807419, 144.94257, 0.4361149886680301]","['11-Errol St/Victoria St (Melbourne City)', -37.805196, 144.949446, 0.4997467724193434]","['North Melbourne Railway Station (West Melbourne)', -37.80631, 144.94151, 0.5796285356981202]",True,False,90927,107532,"['North Melbourne Railway Station (West Melbourne)', -37.807419, 144.94257, 0.4361149886680301]",,,1395.7/235.7,1002.0/721.4,0.0107692307692307,0.1453716628893433,0.0999493544838686,0.043611498866803,0.0193209511899373,721.4,235.7
1,6/166 Stanley Street West,Melbourne,VIC,3003,650.0,-37.8090735,144.9472571,2,2,1,"{'North Melbourne Primary School': 1.2, 'University High School': 1.5, 'Haileybury College - City Campus': 0.6}","['Queen Victoria Market', -37.807962, 144.955688, 51]",town_house,206041510,West Melbourne - Residential,24600,Melbourne,21563.32714,9683.521484,"[['North Melbourne Primary School', 1.2, 140], ['University High School', 1.5, 79], ['Haileybury College - City Campus', 0.6, 7]]",,,,,"['North Melbourne Railway Station (West Melbourne)', -37.807419, 144.94257, 0.45099767473258146]","['11-Errol St/Victoria St (Melbourne City)', -37.805196, 144.949446, 0.4720986408351933]","['North Melbourne Railway Station (West Melbourne)', -37.80631, 144.94151, 0.5910533392672727]",True,False,90927,107532,"['North Melbourne Railway Station (West Melbourne)', -37.807419, 144.94257, 0.45099767473258146]",,,1330.7/176.5,960.5/691.5,0.0107692307692307,0.1503325582441938,0.0944197281670386,0.0450997674732581,0.0197017779755757,691.5,176.5
2,228/9 The Arcade,Docklands,VIC,3008,770.0,-37.8128265,144.9382102,2,1,2,"{'Docklands Primary School': 0.3, 'University High School': 2.3, 'Haileybury College - City Campus': 1.3}","['The District Docklands', -37.812574, 144.939344, 108]",town_house,206041118,Docklands,24600,Melbourne,21563.32714,6719.3125,"[['Docklands Primary School', 0.3, None], ['University High School', 2.3, 79], ['Haileybury College - City Campus', 1.3, 7]]",50516.0,65062.0,55150.0,71476.0,"['North Melbourne Railway Station (West Melbourne)', -37.807419, 144.94257, 0.7129083211961418]","['D11-Waterfront City/Docklands Dr (Docklands)', -37.814345, 144.938754, 0.17547689101566316]","['North Melbourne Railway Station (West Melbourne)', -37.80631, 144.94151, 0.780437126475183]",True,False,58307,75685,"['North Melbourne Railway Station (West Melbourne)', -37.807419, 144.94257, 0.7129083211961418]",,,17.5/2.1,168.9/121.6,0.0107692307692307,0.2376361070653806,0.0350953782031326,0.0712908321196141,0.0260145708825061,121.6,2.1
3,14 Dane Street,Seddon,VIC,3011,855.0,-37.8094202,144.8959777,4,2,1,"{'Footscray City Primary School': 0.5, 'Yarraville Special Developmental School': 1.4, 'Footscray High School': 2.0}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031350,Seddon - Kingsville,24330,Maribyrnong,9956.17498,5567.458008,"[['Footscray City Primary School', 0.5, None], ['Yarraville Special Developmental School', 1.4, None], ['Footscray High School', 2.0, 276]]",65931.0,77746.0,66372.0,78218.0,"['Seddon Railway Station (Seddon)', -37.809005, 144.895672, 0.05341097280706492]","['64-Footscray Station/Leeds St (Footscray)', -37.801367, 144.90092, 0.9951930910054886]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 1.036598928826585]",True,False,68864,81615,"['Seddon Railway Station (Seddon)', -37.809005, 144.895672, 0.05341097280706492]",,,1179.5/203.8,1213.1/873.4,0.4246153846153846,0.0178036576023549,0.1990386182010977,0.0053410972807064,0.0345532976275528,873.4,203.8
4,2/17 Hotham Street,Seddon,VIC,3011,750.0,-37.8094843,144.8936365,3,2,1,"{'Footscray City Primary School': 0.7, 'Yarraville Special Developmental School': 1.3, 'Footscray High School': 2.0}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031350,Seddon - Kingsville,24330,Maribyrnong,9956.17498,5567.458008,"[['Footscray City Primary School', 0.7, None], ['Yarraville Special Developmental School', 1.3, None], ['Footscray High School', 2.0, 276]]",65931.0,77746.0,66372.0,78218.0,"['Seddon Railway Station (Seddon)', -37.809005, 144.895672, 0.18659239393441804]","['64-Footscray Station/Leeds St (Footscray)', -37.801367, 144.90092, 1.106413550323432]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 1.161017163032]",True,False,68864,81615,"['Seddon Railway Station (Seddon)', -37.809005, 144.895672, 0.18659239393441804]",,,1278.0/224.9,1480.4/1065.9,0.4246153846153846,0.062197464644806,0.2212827100646864,0.0186592393934418,0.0387005721010666,1065.9,224.9
5,9/92 Cowper Street,Footscray,VIC,3011,700.0,-37.8054759,144.9017832,3,2,2,"{'Footscray City Primary School': 0.2, 'Footscray High School': 1.7, 'Footscray City College': 1.7}","['Footscray Market', -37.800522, 144.901875, 46]",town_house,213031348,Footscray,24330,Maribyrnong,9956.17498,3636.729736,"[['Footscray City Primary School', 0.2, None], ['Footscray High School', 1.7, 276], ['Footscray City College', 1.7, None]]",49003.0,56547.0,49243.0,57701.0,"['Footscray Railway Station (Footscray)', -37.801083, 144.903199, 0.5040571901825339]","['64-Footscray Station/Leeds St (Footscray)', -37.801367, 144.90092, 0.46314021026888474]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 0.45225264775572677]",True,False,50830,60436,"['Footscray Railway Station (Footscray)', -37.801083, 144.903199, 0.5040571901825339]",,,947.4/148.6,768.3/553.2,0.4246153846153846,0.1680190633941779,0.0926280420537769,0.0504057190182533,0.0150750882585242,553.2,148.6
6,3/4 Huntly Street,Footscray,VIC,3011,680.0,-37.8019097,144.8937187,3,1,1,"{'Gilmore College For Girls': 0.3, 'Footscray Primary School': 0.4, 'Footscray High School': 1.2}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031348,Footscray,24330,Maribyrnong,9956.17498,3636.729736,"[['Gilmore College For Girls', 0.3, None], ['Footscray Primary School', 0.4, 408], ['Footscray High School', 1.2, 276]]",49003.0,56547.0,49243.0,57701.0,"['Middle Footscray Railway Station (Footscray)', -37.802505, 144.891472, 0.20819524972922462]","['62-Nicholson St/Hopkins St (Footscray)', -37.799841, 144.899736, 0.5765561783700198]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 0.7314342184099406]",True,False,50830,60436,"['Middle Footscray Railway Station (Footscray)', -37.802505, 144.891472, 0.20819524972922462]",,,511.1/82.3,474.8/341.9,0.4246153846153846,0.0693984165764082,0.1153112356740039,0.0208195249729224,0.0243811406136646,341.9,82.3
7,119 Williamstown Road,Seddon,VIC,3011,650.0,-37.8089864,144.8844469,3,2,1,"{'Yarraville West Primary School': 0.6, 'Yarraville Special Developmental School': 1.0, 'Footscray High School': 2.2}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031350,Seddon - Kingsville,24330,Maribyrnong,9956.17498,5567.458008,"[['Yarraville West Primary School', 0.6, 288], ['Yarraville Special Developmental School', 1.0, None], ['Footscray High School', 2.2, 276]]",65931.0,77746.0,66372.0,78218.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.799787789793624]","['64-Footscray Station/Leeds St (Footscray)', -37.801367, 144.90092, 1.6770010194026455]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 1.7586229151949722]",True,False,68864,81615,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.799787789793624]",,,1982.8/253.3,1909.2/1374.6,0.4246153846153846,0.266595929931208,0.3354002038805291,0.0799787789793624,0.0586207638398324,1374.6,253.3
8,224 Buckley Street,Footscray,VIC,3011,600.0,-37.8025466,144.8887117,2,2,1,"{'Footscray Primary School': 0.6, 'Gilmore College For Girls': 0.7, 'Footscray High School': 1.4}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031348,Footscray,24330,Maribyrnong,9956.17498,3636.729736,"[['Footscray Primary School', 0.6, 408], ['Gilmore College For Girls', 0.7, None], ['Footscray High School', 1.4, 276]]",49003.0,56547.0,49243.0,57701.0,"['Middle Footscray Railway Station (Footscray)', -37.802505, 144.891472, 0.24255916730950108]","['61-Geelong Rd/Droop St (Footscray)', -37.796793, 144.897131, 0.9780145831193214]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 1.1760270250032094]",True,False,50830,60436,"['Middle Footscray Railway Station (Footscray)', -37.802505, 144.891472, 0.24255916730950108]",,,969.5/127.5,977.8/704.0,0.4246153846153846,0.0808530557698336,0.1956029166238642,0.0242559167309501,0.0392009008334403,704.0,127.5
9,9/30 Sydenham Street,Seddon,VIC,3011,600.0,-37.8028105,144.8857695,2,2,1,"{'Footscray Primary School': 0.8, 'Gilmore College For Girls': 0.9, 'Footscray High School': 1.5}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031350,Seddon - Kingsville,24330,Maribyrnong,9956.17498,5567.458008,"[['Footscray Primary School', 0.8, 408], ['Gilmore College For Girls', 0.9, None], ['Footscray High School', 1.5, 276]]",65931.0,77746.0,66372.0,78218.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.1926954257170483]","['61-Geelong Rd/Droop St (Footscray)', -37.796793, 144.897131, 1.2017465086893873]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 1.4361797033089976]",True,False,68864,81615,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.1926954257170483]",,,1500.1/212.7,1282.0/923.0,0.4246153846153846,0.0642318085723494,0.2403493017378774,0.0192695425717048,0.0478726567769665,923.0,212.7
